condition,subgroup,additive_r,gears_r,additive_mse,gears_mse,non_additivity,improvement
CEBPB+MAPK1,combo_seen1,0.9787981,0.9661436676979065,0.1129998937249183,0.10167290270328522,0.5566219687461853,-0.01265443230209351
ETS2+MAPK1,combo_seen2,0.97610724,0.8777411580085754,0.1073434725403785,0.2999802529811859,0.3742342591285705,-0.0983660819914246
DUSP9+IGDCC3,combo_seen1,0.9888382,0.9120626449584961,0.1033839955925941,0.30409327149391174,0.3744794726371765,-0.0767755550415039
CBL+PTPN12,combo_seen1,0.99015856,0.9363278150558472,0.0410372056066989,0.22586581110954285,0.3386496901512146,-0.05383074494415285
CEBPB+OSR2,combo_seen0,0.9877812,0.8750094771385193,0.0737748220562934,0.36864644289016724,0.4317724406719208,-0.11277172286148074
SGK1+S1PR2,combo_seen1,0.9817953,0.9516443014144897,0.0741693899035453,0.19142170250415802,0.4381617903709411,-0.03015099858551029
DUSP9+KLF1,combo_seen1,0.9925623,0.8770055770874023,0.0601186454296112,0.5929420590400696,0.3260826468467712,-0.11555672291259766
FEV+ISL2,combo_seen2,0.9906519,0.9855557680130005,0.05409387499094,0.07639290392398834,0.4767358303070068,-0.005096131986999541
POU3F2+CBFA2T3,combo_seen2,0.9966033,0.9850176572799683,0.0216116346418857,0.07704097032546997,0.504111111164093,-0.011585642720031708
FOXA1+HOXB9,combo_seen2,0.9938738,0.9814314246177673,0.0232510603964328,0.07104701548814774,0.3994660079479217,-0.012442375382232695
CEBPE+SPI1,combo_seen1,0.9811702,0.813150942325592,0.0665371567010879,0.5335935354232788,0.3848428130149841,-0.16801925767440795
CBL+TGFBR2,combo_seen1,0.9955554,0.9719597101211548,0.0145919397473335,0.15615054965019226,0.4316389858722687,-0.023595689878845194
FOXA1+FOXL2,combo_seen1,0.99652815,0.9875155091285706,0.0134820295497775,0.04290195554494858,0.4704523980617523,-0.00901264087142939
FOXF1+FOXL2,combo_seen1,0.9908664,0.9807751774787903,0.0486569628119468,0.10483332723379135,0.4907721579074859,-0.010091222521209753
ETS2+PRTG,combo_seen1,0.9899613,0.8894421458244324,0.019615376368165,0.20378537476062775,0.5934757590293884,-0.10051915417556767
LYL1+CEBPB,combo_seen1,0.98996115,0.8682583570480347,0.0201701261103153,0.2741616666316986,0.6900940537452698,-0.12170279295196529
DUSP9+SNAI1,combo_seen1,0.9905668,0.9379554390907288,0.0561012029647827,0.305357962846756,0.6099348068237305,-0.05261136090927121
TGFBR2+PRTG,combo_seen1,0.9956178,0.9749616980552673,0.0343997702002525,0.12904071807861328,0.3840650618076324,-0.020656101944732663
FOSB+OSR2,combo_seen1,0.9820254,0.5418412089347839,0.0332043021917343,0.727450966835022,0.3288101255893707,-0.4401841910652161
FOXL2+HOXB9,combo_seen1,0.55309594,0.6636070013046265,0.0053255287930369,0.03928252309560776,0.3997640013694763,0.11051106130462651
ZBTB10+ELMSAN1,combo_seen1,0.9938925,0.9708874225616455,0.030169878154993,0.135663241147995,0.4067789018154144,-0.02300507743835445
JUN+CEBPB,combo_seen0,,0.0,0.0018698647618293,0.03127259016036987,0.4365471601486206,
ZBTB10+SNAI1,combo_seen1,,0.0,0.000744733843021,0.022487632930278778,0.4283818900585174,
CEBPE+CEBPB,combo_seen1,0.97077036,0.969846785068512,0.072539210319519,0.05958888679742813,0.4364843964576721,-0.0009235749314880914
PRDM1+CBFA2T3,combo_seen1,0.9971,0.9771746397018433,0.0098126251250505,0.09776756912469864,0.5034359693527222,-0.019925360298156725
FOXA3+FOXL2,combo_seen1,0.99856746,0.9930405020713806,0.007968058809638,0.05922720581293106,0.489223450422287,-0.005526957928619347
CDKN1C+CDKN1B,combo_seen0,0.9991184,0.9907177686691284,0.0231708493083715,0.037947289645671844,0.6195627450942993,-0.008400631330871544
CDKN1C+CDKN1A,combo_seen0,0.99954796,0.9674981832504272,0.0310303978621959,0.11338025331497192,0.5563596487045288,-0.03204977674957277
ZBTB10+DLX2,combo_seen1,,0.0,0.0010035287123173,0.02899572253227234,0.4740447402000427,
CBL+UBASH3A,combo_seen1,,0.0,0.001119177090004,0.014108237810432911,0.6253896951675415,
SNAI1+DLX2,combo_seen2,0.97686386,0.5611043572425842,0.0149991493672132,0.14953848719596863,0.4943224191665649,-0.4157595027574158
IGDCC3+PRTG,combo_seen1,0.99093056,0.9780160784721375,0.1997108608484268,0.058881212025880814,0.6823651790618896,-0.012914481527862565
CDKN1B+CDKN1A,combo_seen0,0.99924564,0.9927061796188354,0.0434565506875515,0.026580175384879112,0.4875573813915252,-0.006539460381164597
C3orf72+FOXL2,combo_seen0,,0.0,0.0025740475393831,0.03879062086343765,0.7986152172088623,
